SampleID,SensorA,SensorB,SensorC,SensorD,category
S001,10.5,11.2,3.1,2.5,on
S002,9.8,10.5,2.9,3.3,on
S003,11.1,9.9,3.5,2.8,on
S004,10.2,10.8,3.0,3.1,on
S005,10.7,11.5,2.7,2.9,on
S006,3.2,2.5,10.1,9.5,off
S007,2.9,3.1,11.5,10.2,off
S008,3.5,2.8,9.8,10.8,off
S009,4.1,3.3,10.5,9.9,off
S010,3.8,2.9,10.9,11.1,off
S011,6.5,7.2,6.8,7.5,unknown
S012,7.1,6.8,7.2,6.9,unknown
S013,5.9,6.5,7.8,6.2,unknown
S014,1.1,8.5,8.1,1.5,standby
S015,1.5,8.2,7.9,1.8,standby
S016,1.3,8.8,8.5,1.6,standby
S017,10.1,2.1,9.5,9.2,anomaly
S018,9.5,2.5,9.1,8.9,anomaly
